name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
Bulbasaur,88.1,1,65,65,45,grass,poison,6.9,1,0
Ivysaur,88.1,2,80,80,60,grass,poison,13,1,0
Venusaur,88.1,3,122,120,80,grass,poison,100,1,0
Charmander,88.1,4,60,50,65,fire,,8.5,1,0
Charmeleon,88.1,5,80,65,80,fire,,19,1,0
Charizard,88.1,6,159,115,100,fire,flying,90.5,1,0
Squirtle,88.1,7,50,64,43,water,,9,1,0
Wartortle,88.1,8,65,80,58,water,,22.5,1,0
Blastoise,88.1,9,135,115,78,water,,85.5,1,0
Caterpie,50,10,20,20,45,bug,,2.9,1,0
Metapod,50,11,25,25,30,bug,,9.9,1,0
Butterfree,50,12,90,80,70,bug,flying,32,1,0
Weedle,50,13,20,20,50,bug,poison,3.2,1,0
Kakuna,50,14,25,25,35,bug,poison,10,1,0
Beedrill,50,15,15,80,145,bug,poison,29.5,1,0
Pidgey,50,16,35,35,56,normal,flying,1.8,1,0
Pidgeotto,50,17,50,50,71,normal,flying,30,1,0
Pidgeot,50,18,135,80,121,normal,flying,39.5,1,0
Rattata,50,19,25,35,72,normal,dark,,1,0
Raticate,50,20,40,80,77,normal,dark,,1,0
Spearow,50,21,31,31,70,normal,flying,2,1,0
Fearow,50,22,61,61,100,normal,flying,38,1,0
Ekans,50,23,40,54,55,poison,,6.9,1,0
Arbok,50,24,65,79,80,poison,,65,1,0
Pikachu,50,25,50,50,90,electric,,6,1,0
Raichu,50,26,95,85,110,electric,electric,,1,0
Sandshrew,50,27,10,35,40,ground,ice,,1,0
Sandslash,50,28,25,65,65,ground,ice,,1,0
Nidoran♀,0,29,40,40,41,poison,,7,1,0
Nidorina,0,30,55,55,56,poison,,20,1,0
Nidoqueen,0,31,75,85,76,poison,ground,60,1,0
Nidoran♂,100,32,40,40,50,poison,,9,1,0
Nidorino,100,33,55,55,65,poison,,19.5,1,0
Nidoking,100,34,85,75,85,poison,ground,62,1,0
Clefairy,24.6,35,60,65,35,fairy,,7.5,1,0
Clefable,24.6,36,95,90,60,fairy,,40,1,0
Vulpix,24.6,37,50,65,65,fire,ice,,1,0
Ninetales,24.6,38,81,100,109,fire,ice,,1,0
Jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,1,0
Wigglytuff,24.6,40,85,50,45,normal,fairy,12,1,0
Zubat,50,41,30,40,55,poison,flying,7.5,1,0
Golbat,50,42,65,75,90,poison,flying,55,1,0
Oddish,50,43,75,65,30,grass,poison,5.4,1,0
Gloom,50,44,85,75,40,grass,poison,8.6,1,0
Vileplume,50,45,110,90,50,grass,poison,18.6,1,0
Paras,50,46,45,55,25,bug,grass,5.4,1,0
Parasect,50,47,60,80,30,bug,grass,29.5,1,0
Venonat,50,48,40,55,45,bug,poison,30,1,0
Venomoth,50,49,90,75,90,bug,poison,12.5,1,0
Diglett,50,50,35,45,90,ground,ground,,1,0
Dugtrio,50,51,50,70,110,ground,ground,,1,0
